solicitud_id,cliente_id,artista_id,campana_id,fecha_solicitud,hora_solicitud,canal_contacto,fuente_llegada,estilo_tatuaje,zona_cuerpo,tamano,monto_cotizado_clp,minutos_respuesta,estado_solicitud,etapa_pipeline,score_oportunidad
RES-0160,CLI-0160,ART-005,CAMP-TK-01,2026-05-24,15:00,WhatsApp,TikTok,geometrico,mano/dedos,grande,205000,97,confirmada,reserva confirmada,66
RES-0161,CLI-0161,ART-005,CAMP-RET-01,2026-06-19,14:00,WhatsApp,cliente recurrente,geometrico,costillas,pequeno,40000,88,pendiente,esperando respuesta cliente,24
RES-0162,CLI-0162,ART-004,CAMP-REF-01,2026-06-10,09:00,WhatsApp,recomendacion,blackwork,muneca,mediano,85000,176,confirmada,reserva confirmada,49
RES-0163,CLI-0163,ART-006,CAMP-GO-01,2026-06-08,17:30,WhatsApp,Google,tradicional,brazo,mediano,100000,264,cancelada,perdida,18
RES-0164,CLI-0164,ART-005,CAMP-IG-01,2026-05-25,17:00,WhatsApp,Instagram,minimalista color,brazo,pequeno,40000,81,confirmada,reserva confirmada,36
RES-0165,CLI-0165,ART-003,CAMP-TK-01,2026-05-27,13:00,WhatsApp,TikTok,minimalista,hombro,pequeno,40000,188,pendiente,esperando respuesta cliente,12
RES-0166,CLI-0166,ART-003,CAMP-REF-01,2026-05-16,13:30,WhatsApp,recomendacion,geometrico,espalda,mediano,110000,57,contactar,pendiente de contacto,30
RES-0167,CLI-0167,ART-004,CAMP-TK-01,2026-05-18,14:00,WhatsApp,TikTok,lettering,brazo,grande,190000,118,pendiente,esperando respuesta cliente,40
RES-0168,CLI-0168,ART-006,CAMP-TK-01,2026-05-23,14:00,WhatsApp,TikTok,blackwork,pecho,mediano,160000,192,pendiente,esperando respuesta cliente,34
RES-0169,CLI-0169,ART-004,CAMP-IG-01,2026-05-18,16:30,Instagram,Instagram,tradicional color,hombro,grande,290000,217,contactar,pendiente de contacto,49
RES-0170,CLI-0170,ART-004,CAMP-TK-01,2026-05-29,17:00,WhatsApp,TikTok,tradicional color,pierna,pequeno,50000,101,confirmada,reserva confirmada,33
RES-0171,CLI-0171,ART-004,CAMP-TK-01,2026-06-06,17:00,Instagram,TikTok,blackwork,pierna,mediano,160000,252,confirmada,reserva confirmada,53
RES-0172,CLI-0172,ART-001,CAMP-DIR-01,2026-06-13,12:00,WhatsApp,visita directa,fine line,hombro,grande,195000,108,confirmada,reserva confirmada,60
RES-0173,CLI-0173,ART-006,CAMP-IG-01,2026-06-02,17:30,WhatsApp,Instagram,geometrico color,mano/dedos,mediano,150000,108,confirmada,reserva confirmada,56
RES-0174,CLI-0174,ART-006,CAMP-RET-01,2026-05-29,17:30,WhatsApp,cliente recurrente,geometrico,tobillo,grande,190000,265,confirmada,reserva confirmada,76
RES-0175,CLI-0175,ART-002,CAMP-DIR-01,2026-05-22,10:00,WhatsApp,visita directa,blackwork,muneca,mediano,90000,115,confirmada,reserva confirmada,45
RES-0176,CLI-0176,ART-003,CAMP-TK-01,2026-06-06,11:30,WhatsApp,TikTok,geometrico,mano/dedos,pequeno,50000,58,contactar,pendiente de contacto,14
RES-0177,CLI-0177,ART-003,CAMP-REF-01,2026-05-17,13:30,WhatsApp,recomendacion,geometrico color,pierna,mediano,85000,49,contactar,pendiente de contacto,30
RES-0178,CLI-0178,ART-002,CAMP-TK-01,2026-05-19,12:30,WhatsApp,TikTok,geometrico color,cuello,grande,230000,41,confirmada,reserva confirmada,71
RES-0179,CLI-0179,ART-006,CAMP-TK-01,2026-06-05,15:00,WhatsApp,TikTok,geometrico color,espalda,sesion larga,440000,201,confirmada,reserva confirmada,100
RES-0180,CLI-0180,ART-006,CAMP-IG-01,2026-05-20,15:30,Instagram,Instagram,blackwork color,muneca,mediano,130000,244,pendiente,esperando respuesta cliente,24
RES-0181,CLI-0181,ART-004,CAMP-AIEP-01,2026-06-02,16:30,WhatsApp,evento AIEP,tradicional,costillas,pequeno,80000,191,confirmada,reserva confirmada,39
RES-0182,CLI-0182,ART-004,CAMP-RET-01,2026-05-25,15:00,WhatsApp,cliente recurrente,blackwork,hombro,mediano,85000,145,pendiente,esperando respuesta cliente,27
RES-0183,CLI-0183,ART-006,CAMP-RET-01,2026-06-08,17:00,WhatsApp,cliente recurrente,tradicional,pierna,grande,215000,137,pendiente,esperando respuesta cliente,56
RES-0184,CLI-0184,ART-004,CAMP-IG-01,2026-06-13,15:00,Instagram,Instagram,lettering,hombro,grande,180000,180,contactar,pendiente de contacto,38
RES-0185,CLI-0185,ART-003,CAMP-AIEP-01,2026-06-01,16:30,WhatsApp,evento AIEP,geometrico color,mano/dedos,pequeno,40000,170,pendiente,esperando respuesta cliente,12
RES-0186,CLI-0186,ART-003,CAMP-TK-01,2026-06-14,12:30,WhatsApp,TikTok,minimalista color,tobillo,pequeno,40000,70,confirmada,reserva confirmada,31
RES-0187,CLI-0078,ART-004,CAMP-REF-01,2026-06-02,12:30,Instagram,recomendacion,tradicional color,pecho,grande,330000,305,confirmada,reserva confirmada,90
RES-0188,CLI-0187,ART-002,CAMP-DIR-01,2026-06-12,11:30,WhatsApp,visita directa,geometrico color,espalda,grande,330000,193,pendiente,esperando respuesta cliente,61
RES-0189,CLI-0188,ART-002,CAMP-IG-01,2026-05-30,11:00,Instagram,Instagram,tradicional,hombro,mediano,115000,227,contactar,pendiente de contacto,26
RES-0190,CLI-0189,ART-006,CAMP-AIEP-01,2026-05-20,13:00,WhatsApp,evento AIEP,geometrico color,muneca,grande,250000,35,confirmada,reserva confirmada,69
RES-0191,CLI-0190,ART-004,CAMP-TK-01,2026-06-09,17:30,WhatsApp,TikTok,tradicional color,mano/dedos,mediano,170000,191,pendiente,esperando respuesta cliente,31
RES-0192,CLI-0191,ART-003,CAMP-AIEP-01,2026-05-14,09:30,WhatsApp,evento AIEP,geometrico,pecho,mediano,145000,50,pendiente,esperando respuesta cliente,31
RES-0193,CLI-0192,ART-002,CAMP-DIR-01,2026-06-07,11:30,WhatsApp,visita directa,geometrico,muneca,mediano,90000,31,pendiente,esperando respuesta cliente,21
RES-0194,CLI-0193,ART-002,CAMP-TK-01,2026-05-14,12:30,WhatsApp,TikTok,tradicional,costillas,mediano,160000,236,pendiente,esperando respuesta cliente,29
RES-0195,CLI-0194,ART-002,CAMP-TK-01,2026-05-14,09:00,WhatsApp,TikTok,geometrico color,hombro,mediano,135000,34,confirmada,reserva confirmada,49
RES-0196,CLI-0195,ART-002,CAMP-RET-01,2026-06-12,09:00,Instagram,cliente recurrente,tradicional color,tobillo,pequeno,40000,51,confirmada,reserva confirmada,48
RES-0197,CLI-0196,ART-001,CAMP-REF-01,2026-06-15,17:00,Instagram,recomendacion,lettering color,tobillo,pequeno,45000,200,pendiente,esperando respuesta cliente,23
RES-0198,CLI-0197,ART-006,CAMP-TK-01,2026-05-24,11:00,WhatsApp,TikTok,tradicional,cuello,grande,330000,242,contactar,pendiente de contacto,60
RES-0199,CLI-0198,ART-006,CAMP-IG-01,2026-05-26,10:00,WhatsApp,Instagram,blackwork,muneca,mediano,135000,143,confirmada,reserva confirmada,49
RES-0200,CLI-0199,ART-001,CAMP-GO-01,2026-06-03,14:30,WhatsApp,Google,fine line,brazo,mediano,85000,69,confirmada,reserva confirmada,39
RES-0201,CLI-0200,ART-005,CAMP-TK-01,2026-05-21,13:00,Instagram,TikTok,fine line color,pecho,mediano,170000,182,contactar,pendiente de contacto,31
RES-0202,CLI-0201,ART-004,CAMP-GO-01,2026-06-12,13:00,WhatsApp,Google,blackwork,espalda,mediano,115000,80,confirmada,reserva confirmada,50
RES-0203,CLI-0202,ART-003,CAMP-REF-01,2026-05-28,16:00,WhatsApp,recomendacion,geometrico,brazo,sesion larga,260000,100,pendiente,esperando respuesta cliente,58
RES-0204,CLI-0203,ART-005,CAMP-AIEP-01,2026-06-01,12:00,Instagram,evento AIEP,minimalista,cuello,sesion larga,260000,82,pendiente,esperando respuesta cliente,52
RES-0205,CLI-0204,ART-003,CAMP-REF-01,2026-05-16,09:00,WhatsApp,recomendacion,minimalista color,tobillo,pequeno,40000,76,cancelada,perdida,22
RES-0206,CLI-0205,ART-002,CAMP-GO-01,2026-06-09,10:30,WhatsApp,Google,blackwork,antebrazo,mediano,105000,18,cancelada,perdida,24
RES-0207,CLI-0206,ART-003,CAMP-DIR-01,2026-06-16,17:00,Instagram,visita directa,geometrico,antebrazo,mediano,85000,199,confirmada,reserva confirmada,39
RES-0208,CLI-0207,ART-003,CAMP-IG-01,2026-06-19,09:30,Instagram,Instagram,geometrico,hombro,mediano,85000,135,reagendada,reagendar fecha,20
RES-0209,CLI-0208,ART-002,CAMP-AIEP-01,2026-05-23,16:00,WhatsApp,evento AIEP,tradicional,brazo,mediano,95000,124,confirmada,reserva confirmada,46
RES-0210,CLI-0209,ART-001,CAMP-AIEP-01,2026-06-02,11:30,WhatsApp,evento AIEP,fine line,hombro,mediano,90000,188,contactar,pendiente de contacto,16
RES-0211,CLI-0210,ART-004,CAMP-RET-01,2026-06-07,15:00,WhatsApp,cliente recurrente,blackwork,mano/dedos,grande,205000,149,contactar,pendiente de contacto,54
RES-0212,CLI-0211,ART-003,CAMP-RET-01,2026-06-15,15:30,Instagram,cliente recurrente,fine line,espalda,pequeno,40000,123,pendiente,esperando respuesta cliente,19
RES-0213,CLI-0212,ART-003,CAMP-AIEP-01,2026-06-18,14:30,Instagram,evento AIEP,fine line,espalda,sesion larga,275000,263,cancelada,perdida,51
RES-0214,CLI-0213,ART-006,CAMP-TK-01,2026-05-31,10:30,WhatsApp,TikTok,geometrico color,muneca,mediano,105000,23,pendiente,esperando respuesta cliente,19
RES-0215,CLI-0214,ART-004,CAMP-RET-01,2026-05-15,15:30,WhatsApp,cliente recurrente,blackwork,cuello,pequeno,40000,16,confirmada,reserva confirmada,48
RES-0216,CLI-0215,ART-002,CAMP-DIR-01,2026-06-07,13:30,Instagram,visita directa,tradicional,cuello,grande,200000,29,contactar,pendiente de contacto,41
RES-0217,CLI-0216,ART-004,CAMP-TK-01,2026-06-12,09:00,Instagram,TikTok,blackwork,antebrazo,pequeno,60000,254,confirmada,reserva confirmada,40
RES-0218,CLI-0217,ART-001,CAMP-TK-01,2026-05-18,15:30,WhatsApp,TikTok,fine line,antebrazo,sesion larga,260000,120,confirmada,reserva confirmada,71
RES-0219,CLI-0218,ART-002,CAMP-GO-01,2026-06-10,11:30,Instagram,Google,tradicional color,brazo,mediano,150000,180,confirmada,reserva confirmada,56
RES-0220,CLI-0219,ART-002,CAMP-TK-01,2026-05-31,11:00,WhatsApp,TikTok,blackwork,muneca,mediano,120000,43,contactar,pendiente de contacto,27
RES-0221,CLI-0220,ART-001,CAMP-IG-01,2026-05-14,17:30,WhatsApp,Instagram,fine line color,antebrazo,mediano,120000,77,pendiente,esperando respuesta cliente,27
RES-0222,CLI-0221,ART-005,CAMP-DIR-01,2026-06-18,10:00,WhatsApp,visita directa,geometrico,tobillo,sesion larga,260000,44,pendiente,esperando respuesta cliente,43
RES-0223,CLI-0222,ART-001,CAMP-IG-01,2026-05-13,09:30,WhatsApp,Instagram,minimalista,tobillo,mediano,85000,186,contactar,pendiente de contacto,15
RES-0224,CLI-0223,ART-002,CAMP-RET-01,2026-05-19,15:30,WhatsApp,cliente recurrente,blackwork,cuello,mediano,170000,87,confirmada,reserva confirmada,72
RES-0225,CLI-0224,ART-006,CAMP-TK-01,2026-06-12,14:00,WhatsApp,TikTok,blackwork,mano/dedos,mediano,155000,54,pendiente,esperando respuesta cliente,33
RES-0226,CLI-0225,ART-004,CAMP-TK-01,2026-06-17,09:00,WhatsApp,TikTok,blackwork,tobillo,pequeno,40000,73,pendiente,esperando respuesta cliente,12
RES-0227,CLI-0226,ART-005,CAMP-DIR-01,2026-05-26,17:30,Instagram,visita directa,minimalista,costillas,mediano,105000,171,confirmada,reserva confirmada,43
RES-0228,CLI-0227,ART-005,CAMP-IG-01,2026-06-16,17:00,WhatsApp,Instagram,minimalista,antebrazo,mediano,85000,132,reagendada,reagendar fecha,20
RES-0229,CLI-0228,ART-004,CAMP-GO-01,2026-05-15,09:00,Instagram,Google,blackwork color,pecho,pequeno,70000,223,pendiente,esperando respuesta cliente,13
RES-0230,CLI-0229,ART-005,CAMP-REF-01,2026-05-22,16:30,Instagram,recomendacion,fine line,costillas,sesion larga,350000,101,pendiente,esperando respuesta cliente,75
RES-0231,CLI-0230,ART-005,CAMP-REF-01,2026-05-13,10:00,Instagram,recomendacion,fine line,antebrazo,grande,180000,159,contactar,pendiente de contacto,48
RES-0232,CLI-0231,ART-006,CAMP-AIEP-01,2026-05-29,17:30,WhatsApp,evento AIEP,tradicional,brazo,mediano,170000,202,confirmada,reserva confirmada,60
RES-0233,CLI-0232,ART-003,CAMP-AIEP-01,2026-06-17,11:30,WhatsApp,evento AIEP,minimalista color,muneca,mediano,85000,150,confirmada,reserva confirmada,39
RES-0234,CLI-0233,ART-001,CAMP-RET-01,2026-05-16,11:30,WhatsApp,cliente recurrente,lettering,espalda,mediano,105000,69,contactar,pendiente de contacto,31
RES-0235,CLI-0234,ART-001,CAMP-AIEP-01,2026-06-19,10:00,Instagram,evento AIEP,minimalista,brazo,mediano,110000,326,pendiente,esperando respuesta cliente,20
RES-0236,CLI-0235,ART-004,CAMP-IG-01,2026-06-14,09:30,WhatsApp,Instagram,blackwork color,tobillo,grande,300000,179,cancelada,perdida,56
RES-0237,CLI-0236,ART-003,CAMP-REF-01,2026-06-16,11:00,WhatsApp,recomendacion,minimalista color,costillas,grande,225000,46,confirmada,reserva confirmada,80
RES-0238,CLI-0237,ART-006,CAMP-IG-01,2026-05-16,15:00,WhatsApp,Instagram,blackwork,pecho,mediano,170000,130,pendiente,esperando respuesta cliente,36
RES-0239,CLI-0238,ART-002,CAMP-TK-01,2026-05-22,09:00,Instagram,TikTok,geometrico,mano/dedos,pequeno,70000,105,confirmada,reserva confirmada,42
RES-0240,CLI-0239,ART-003,CAMP-TK-01,2026-05-31,12:00,WhatsApp,TikTok,minimalista,pierna,mediano,90000,129,confirmada,reserva confirmada,45
RES-0241,CLI-0240,ART-003,CAMP-IG-01,2026-06-17,16:30,WhatsApp,Instagram,geometrico,pecho,pequeno,40000,210,reagendada,reagendar fecha,12
RES-0242,CLI-0241,ART-006,CAMP-TK-01,2026-05-27,09:30,WhatsApp,TikTok,geometrico,tobillo,sesion larga,260000,44,confirmada,reserva confirmada,76
RES-0243,CLI-0242,ART-001,CAMP-GO-01,2026-05-31,16:00,Instagram,Google,minimalista color,muneca,grande,185000,124,reagendada,reagendar fecha,35
RES-0244,CLI-0243,ART-005,CAMP-IG-01,2026-06-17,11:30,WhatsApp,Instagram,fine line,cuello,grande,220000,197,pendiente,esperando respuesta cliente,45
RES-0245,CLI-0244,ART-006,CAMP-DIR-01,2026-06-18,13:00,Instagram,visita directa,geometrico,brazo,grande,260000,277,confirmada,reserva confirmada,71
RES-0246,CLI-0245,ART-004,CAMP-TK-01,2026-06-13,15:30,Instagram,TikTok,lettering color,costillas,sesion larga,375000,114,pendiente,esperando respuesta cliente,69
RES-0247,CLI-0246,ART-006,CAMP-GO-01,2026-05-13,17:30,Instagram,Google,tradicional,pierna,grande,285000,31,pendiente,esperando respuesta cliente,52
RES-0248,CLI-0247,ART-005,CAMP-DIR-01,2026-05-29,11:00,WhatsApp,visita directa,minimalista,mano/dedos,sesion larga,265000,69,pendiente,esperando respuesta cliente,49
RES-0249,CLI-0248,ART-006,CAMP-GO-01,2026-05-20,10:00,WhatsApp,Google,blackwork,costillas,grande,330000,104,confirmada,reserva confirmada,84
RES-0250,CLI-0249,ART-001,CAMP-TK-01,2026-06-03,09:00,WhatsApp,TikTok,minimalista,hombro,sesion larga,260000,195,confirmada,reserva confirmada,72
RES-0251,CLI-0250,ART-002,CAMP-TK-01,2026-05-17,14:00,WhatsApp,TikTok,geometrico color,costillas,mediano,170000,113,confirmada,reserva confirmada,60
RES-0252,CLI-0251,ART-005,CAMP-AIEP-01,2026-05-16,15:00,WhatsApp,evento AIEP,minimalista color,antebrazo,mediano,90000,87,pendiente,esperando respuesta cliente,16
RES-0253,CLI-0252,ART-005,CAMP-GO-01,2026-05-23,10:00,Instagram,Google,fine line color,espalda,pequeno,60000,155,pendiente,esperando respuesta cliente,16
RES-0254,CLI-0253,ART-005,CAMP-IG-01,2026-06-15,14:00,WhatsApp,Instagram,minimalista,espalda,sesion larga,260000,30,pendiente,esperando respuesta cliente,48
RES-0255,CLI-0254,ART-003,CAMP-AIEP-01,2026-05-25,12:30,WhatsApp,evento AIEP,minimalista,brazo,grande,180000,181,pendiente,esperando respuesta cliente,38
RES-0256,CLI-0255,ART-004,CAMP-DIR-01,2026-06-09,15:30,WhatsApp,visita directa,lettering,espalda,pequeno,40000,98,cancelada,perdida,12
RES-0257,CLI-0256,ART-002,CAMP-IG-01,2026-05-18,13:30,WhatsApp,Instagram,geometrico,hombro,pequeno,65000,28,confirmada,reserva confirmada,41
RES-0258,CLI-0257,ART-002,CAMP-RET-01,2026-06-04,09:30,Instagram,cliente recurrente,tradicional,hombro,pequeno,60000,62,confirmada,reserva confirmada,47
RES-0259,CLI-0258,ART-003,CAMP-TK-01,2026-06-19,09:00,Instagram,TikTok,fine line,hombro,grande,180000,167,confirmada,reserva confirmada,57
RES-0260,CLI-0259,ART-006,CAMP-DIR-01,2026-06-10,09:00,WhatsApp,visita directa,geometrico,brazo,pequeno,60000,71,confirmada,reserva confirmada,35
RES-0261,CLI-0260,ART-005,CAMP-GO-01,2026-06-02,16:30,WhatsApp,Google,fine line,costillas,mediano,115000,126,confirmada,reserva confirmada,50
RES-0262,CLI-0261,ART-001,CAMP-GO-01,2026-05-26,17:00,WhatsApp,Google,fine line,tobillo,pequeno,40000,127,confirmada,reserva confirmada,36
RES-0263,CLI-0262,ART-001,CAMP-AIEP-01,2026-05-13,12:00,Instagram,evento AIEP,fine line,tobillo,mediano,85000,72,confirmada,reserva confirmada,39
RES-0264,CLI-0263,ART-004,CAMP-TK-01,2026-05-17,17:30,Instagram,TikTok,lettering color,mano/dedos,pequeno,70000,183,pendiente,esperando respuesta cliente,18
RES-0265,CLI-0218,ART-002,CAMP-AIEP-01,2026-06-03,17:30,Instagram,evento AIEP,geometrico,hombro,grande,230000,107,pendiente,esperando respuesta cliente,47
RES-0266,CLI-0264,ART-004,CAMP-IG-01,2026-05-13,11:30,WhatsApp,Instagram,blackwork,tobillo,grande,180000,96,confirmada,reserva confirmada,62
RES-0267,CLI-0265,ART-003,CAMP-GO-01,2026-05-16,09:30,Instagram,Google,fine line,espalda,mediano,90000,263,pendiente,esperando respuesta cliente,21
RES-0268,CLI-0266,ART-004,CAMP-TK-01,2026-06-05,16:30,WhatsApp,TikTok,blackwork,pecho,pequeno,65000,113,confirmada,reserva confirmada,41
RES-0269,CLI-0267,ART-001,CAMP-RET-01,2026-06-12,09:30,Instagram,cliente recurrente,lettering,brazo,mediano,85000,260,confirmada,reserva confirmada,56
RES-0270,CLI-0268,ART-003,CAMP-TK-01,2026-06-14,13:00,WhatsApp,TikTok,fine line color,antebrazo,mediano,85000,84,confirmada,reserva confirmada,44
RES-0271,CLI-0269,ART-003,CAMP-REF-01,2026-06-03,16:30,Instagram,recomendacion,geometrico,brazo,mediano,105000,212,pendiente,esperando respuesta cliente,29
RES-0272,CLI-0270,ART-006,CAMP-AIEP-01,2026-05-24,09:30,WhatsApp,evento AIEP,geometrico,pierna,mediano,120000,151,cancelada,perdida,22
RES-0273,CLI-0271,ART-002,CAMP-REF-01,2026-06-06,17:30,WhatsApp,recomendacion,geometrico,muneca,pequeno,50000,101,confirmada,reserva confirmada,48
RES-0274,CLI-0272,ART-002,CAMP-AIEP-01,2026-05-13,13:00,WhatsApp,evento AIEP,blackwork,tobillo,mediano,105000,49,contactar,pendiente de contacto,24
RES-0275,CLI-0273,ART-003,CAMP-IG-01,2026-05-21,10:00,WhatsApp,Instagram,fine line color,costillas,grande,290000,128,confirmada,reserva confirmada,78
RES-0276,CLI-0274,ART-006,CAMP-TK-01,2026-06-04,14:30,Instagram,TikTok,tradicional,muneca,grande,180000,180,confirmada,reserva confirmada,62
RES-0277,CLI-0275,ART-001,CAMP-REF-01,2026-06-13,10:30,WhatsApp,recomendacion,fine line,pierna,grande,180000,16,cancelada,perdida,48
RES-0278,CLI-0276,ART-002,CAMP-TK-01,2026-06-14,09:30,WhatsApp,TikTok,blackwork,antebrazo,mediano,90000,118,pendiente,esperando respuesta cliente,16
RES-0279,CLI-0277,ART-001,CAMP-IG-01,2026-06-07,13:30,WhatsApp,Instagram,minimalista,antebrazo,pequeno,45000,13,confirmada,reserva confirmada,37
RES-0280,CLI-0278,ART-004,CAMP-TK-01,2026-05-24,17:00,WhatsApp,TikTok,lettering,antebrazo,mediano,120000,97,pendiente,esperando respuesta cliente,22
RES-0281,CLI-0279,ART-001,CAMP-GO-01,2026-05-20,14:30,WhatsApp,Google,minimalista,pierna,grande,210000,105,confirmada,reserva confirmada,63
RES-0282,CLI-0280,ART-006,CAMP-RET-01,2026-05-28,16:30,WhatsApp,cliente recurrente,geometrico,costillas,grande,235000,148,confirmada,reserva confirmada,84
RES-0283,CLI-0281,ART-002,CAMP-RET-01,2026-06-12,12:00,Instagram,cliente recurrente,blackwork,mano/dedos,mediano,110000,191,pendiente,esperando respuesta cliente,37
RES-0284,CLI-0282,ART-002,CAMP-DIR-01,2026-06-18,10:30,Instagram,visita directa,geometrico,antebrazo,mediano,145000,319,contactar,pendiente de contacto,31
RES-0285,CLI-0283,ART-001,CAMP-IG-01,2026-06-15,09:00,Instagram,Instagram,fine line color,muneca,grande,210000,152,pendiente,esperando respuesta cliente,34
RES-0286,CLI-0284,ART-002,CAMP-REF-01,2026-05-26,17:30,WhatsApp,recomendacion,tradicional,mano/dedos,grande,185000,67,confirmada,reserva confirmada,73
RES-0287,CLI-0285,ART-003,CAMP-IG-01,2026-06-06,16:00,WhatsApp,Instagram,fine line,pecho,mediano,110000,72,confirmada,reserva confirmada,49
RES-0288,CLI-0286,ART-001,CAMP-GO-01,2026-06-15,12:00,Instagram,Google,fine line,hombro,grande,185000,164,confirmada,reserva confirmada,63
RES-0289,CLI-0287,ART-003,CAMP-REF-01,2026-06-02,10:00,WhatsApp,recomendacion,minimalista,cuello,mediano,85000,73,confirmada,reserva confirmada,49
RES-0290,CLI-0288,ART-006,CAMP-IG-01,2026-05-28,14:30,Instagram,Instagram,blackwork,cuello,grande,275000,174,confirmada,reserva confirmada,79
RES-0291,CLI-0289,ART-003,CAMP-REF-01,2026-05-27,10:30,Instagram,recomendacion,geometrico,brazo,mediano,105000,257,cancelada,perdida,34
RES-0292,CLI-0290,ART-003,CAMP-TK-01,2026-06-19,15:00,WhatsApp,TikTok,fine line,mano/dedos,mediano,85000,70,pendiente,esperando respuesta cliente,20
RES-0293,CLI-0291,ART-004,CAMP-TK-01,2026-06-01,09:00,WhatsApp,TikTok,tradicional color,cuello,pequeno,80000,33,pendiente,esperando respuesta cliente,15
RES-0294,CLI-0292,ART-006,CAMP-REF-01,2026-05-20,16:30,WhatsApp,recomendacion,blackwork,pierna,pequeno,65000,112,contactar,pendiente de contacto,27
RES-0295,CLI-0293,ART-005,CAMP-DIR-01,2026-05-20,13:00,WhatsApp,visita directa,minimalista,hombro,grande,180000,94,pendiente,esperando respuesta cliente,38
RES-0296,CLI-0294,ART-002,CAMP-IG-01,2026-06-15,15:30,WhatsApp,Instagram,tradicional color,mano/dedos,sesion larga,415000,191,confirmada,reserva confirmada,100
RES-0297,CLI-0295,ART-006,CAMP-TK-01,2026-05-23,15:30,WhatsApp,TikTok,blackwork,cuello,pequeno,55000,117,pendiente,esperando respuesta cliente,15
RES-0298,CLI-0296,ART-003,CAMP-REF-01,2026-06-11,12:00,WhatsApp,recomendacion,geometrico,costillas,grande,225000,123,pendiente,esperando respuesta cliente,51
RES-0299,CLI-0297,ART-001,CAMP-IG-01,2026-06-18,11:00,Instagram,Instagram,minimalista,tobillo,pequeno,40000,373,pendiente,esperando respuesta cliente,12
RES-0300,CLI-0298,ART-004,CAMP-RET-01,2026-05-31,09:00,WhatsApp,cliente recurrente,lettering,pecho,mediano,85000,85,confirmada,reserva confirmada,51
RES-0301,CLI-0299,ART-002,CAMP-IG-01,2026-05-21,11:00,WhatsApp,Instagram,blackwork color,tobillo,mediano,120000,73,confirmada,reserva confirmada,51
RES-0302,CLI-0300,ART-006,CAMP-AIEP-01,2026-06-03,11:30,Instagram,evento AIEP,blackwork,cuello,pequeno,80000,34,cancelada,perdida,20
RES-0303,CLI-0301,ART-004,CAMP-REF-01,2026-05-25,11:00,Instagram,recomendacion,blackwork,tobillo,sesion larga,290000,191,contactar,pendiente de contacto,64
RES-0304,CLI-0302,ART-006,CAMP-TK-01,2026-06-06,11:00,WhatsApp,TikTok,geometrico,hombro,pequeno,60000,73,contactar,pendiente de contacto,16
RES-0305,CLI-0303,ART-005,CAMP-AIEP-01,2026-06-11,12:30,WhatsApp,evento AIEP,minimalista,pecho,pequeno,45000,171,contactar,pendiente de contacto,13
RES-0306,CLI-0304,ART-006,CAMP-REF-01,2026-06-18,14:30,WhatsApp,recomendacion,blackwork,muneca,grande,240000,21,pendiente,esperando respuesta cliente,55
RES-0307,CLI-0305,ART-001,CAMP-TK-01,2026-06-05,16:00,Instagram,TikTok,fine line color,pecho,sesion larga,295000,251,pendiente,esperando respuesta cliente,55
RES-0308,CLI-0306,ART-005,CAMP-AIEP-01,2026-06-04,16:30,WhatsApp,evento AIEP,geometrico,cuello,mediano,140000,108,pendiente,esperando respuesta cliente,30
RES-0309,CLI-0307,ART-006,CAMP-TK-01,2026-05-21,16:00,WhatsApp,TikTok,geometrico,mano/dedos,pequeno,70000,260,cancelada,perdida,18
RES-0310,CLI-0308,ART-003,CAMP-IG-01,2026-05-24,16:30,WhatsApp,Instagram,minimalista,pierna,pequeno,40000,97,pendiente,esperando respuesta cliente,12
RES-0311,CLI-0309,ART-004,CAMP-GO-01,2026-05-13,10:30,WhatsApp,Google,tradicional color,pecho,pequeno,70000,32,pendiente,esperando respuesta cliente,13
RES-0312,CLI-0310,ART-002,CAMP-RET-01,2026-05-20,16:30,WhatsApp,cliente recurrente,tradicional color,costillas,pequeno,80000,201,pendiente,esperando respuesta cliente,27
RES-0313,CLI-0311,ART-005,CAMP-RET-01,2026-06-10,14:00,WhatsApp,cliente recurrente,fine line,pecho,pequeno,40000,79,pendiente,esperando respuesta cliente,19
RES-0314,CLI-0312,ART-006,CAMP-IG-01,2026-05-19,10:30,WhatsApp,Instagram,blackwork,pierna,grande,245000,79,contactar,pendiente de contacto,45
RES-0315,CLI-0313,ART-004,CAMP-REF-01,2026-06-04,17:00,WhatsApp,recomendacion,blackwork,costillas,pequeno,65000,92,cancelada,perdida,27
RES-0316,CLI-0314,ART-001,CAMP-IG-01,2026-05-22,17:00,WhatsApp,Instagram,lettering,hombro,pequeno,40000,153,confirmada,reserva confirmada,36
RES-0317,CLI-0315,ART-006,CAMP-DIR-01,2026-06-18,09:30,WhatsApp,visita directa,blackwork,mano/dedos,pequeno,75000,251,pendiente,esperando respuesta cliente,19
RES-0318,CLI-0316,ART-002,CAMP-TK-01,2026-05-24,12:30,WhatsApp,TikTok,tradicional color,costillas,grande,330000,117,confirmada,reserva confirmada,89
RES-0319,CLI-0317,ART-003,CAMP-REF-01,2026-06-15,13:00,WhatsApp,recomendacion,fine line,antebrazo,mediano,85000,64,confirmada,reserva confirmada,54
RES-0320,CLI-0318,ART-005,CAMP-TK-01,2026-05-19,09:00,WhatsApp,TikTok,geometrico,pecho,grande,315000,25,pendiente,esperando respuesta cliente,58
